pid,text
R_4uDGi9a0ycjkTF3,"A. I would be quite exasperated as they could have contacted me about their concerns before I invested a non-refundable deposit into the restaurant. And there is almost no time left to book a restaurant anyways. B. I'd tell him or her that it would be too late to change the decision. I would advise them to not order or eat any raw food in case they were especially concerned about food poisoning. C. In my opinion the Google Reviews can be easily fabricated, however it is also true that if a known food critic is eating at a restaurant, then the food they receive may often be prepared with greater care. Nevertheless I would say that the Google Reviews is by far the less reliable source here. D. I would also call up the restaurant and enquire about the reviews, or enquire about the dishes that may cause gastrointestinal incontinence. I would still keep the booking. I already paid a non-refundable booking, all the other venues are nearly full and Friend A had a lot of time to contact me about restaurant concerns. I also don't fully trust the authenticity of the concerns."
R_9ZAOmb32UlCKiNr,"My first reaction was confusion,and I felt a little upset.I might say,where have u been these past few days ""I couldn’t reach you.and now you’re telling me my choice is problem?then what exactly is your decision? I’ll do more research across platforms.if what him say turns out to be true,I’ll adjust my plan.but if not,I’m standing by it .because I don’t think I’m the one at fault.Him stayed silent for days ,so the decision I made during that time time should be respected."
R_4RWEXebBoYvE0NO,"I would be quite confused initially but wouldn't really care about the concerns as the food critics gave great reviews initially. Maybe be a bit anoyed that they ignored me but wouldn't be that concerned. “Hey, I get the concern, but I wish you brought this up earlier when I asked for help. I already paid a non-refundable deposit and the restaurant has great critic reviews too.” I might glance at the reviews myself just to be sure, but unless the top ten all say “food poisoning,” I’m not worried. Plus, I already paid the deposit and it’s non-refundable, so changing plans now feels like a waste. Everywhere else is probably booked anyway. I would go in with the plan and message them that it should be fine but I would most likely finalise the plan when we meet up together. If over text they don't mind eating then that would be fine, but if they show some resistance then we would talk it further in person."
R_9rpBq7JtZNZ0MRl,"I would feel a bit confused and annoyed that Friend A had not helped me to find the restaurant and had only communicated with me to criticise my choice of restaurant. I would ask him where he got this review from and how long it was ago. I would also ask him why he didn’t tell me about this earlier and ask if he personally does not want to go to this restaurant. I would look at the recency of the review to see if it was trustworthy and also see if there are any other reviews saying the same thing. If there are more reviews which are recent that say this place has given them food poisoning, I would look for another restaurant but if not I would keep the reservation."
R_9QdZGbw9eGv7onD,"I would be extremely pissed off as I tried to communicate with them, but if they're not responding to the texts is generally annoying. It is their fault for not checking the messages so I would say we should be fine and still go to the restaurant as it is highly rated by food critics. I would have a look at the reviews to check how many people actually got food poisoning, cause even though they have a high rating by food critics they can get payed to write the reviews. Whereas the reviews online can be made out of hate but most of them are generally real. Also would double check if they have any awards or if they are always booked out and busy as it can reveal if the restaurant is good or bad. My final choice would probably be to just go to the resutratn because I tried to communicate but if they didn't respond they can not complain."
R_9ByyIa2303GfW0A,"My initial reaction would be annoyed, frustrated and confused as to why Friend A hadn't responded until the day of the dinner. I would then tell him that I had already booked everything and paid for everything, and the critic reviews I had seen were different to the Google Reviews. I would provide screenshots and evidence for the critic reviews, but also take into account the Google reviews to make sure those comments weren't reliable. I would then let Friend A know how disrespectful their actions are, and how difficult and stressful the situation they made was for me. I would finally also let them know that I would tell Friend B of the things Friend A did."
R_90r7lA63og2GuKL,"Ugh… seriously? I just saw Friend A’s message, and my first reaction is frustration. Where was this energy when I asked for help a month ago? I’ve already paid the deposit, and now, three hours before dinner, they’re raising concerns based on a few random Google reviews? I’d reply: “Hey, I get your concern, but it’s really last-minute. The place has glowing reviews from food critics, and we booked it because nothing else was available. Why bring this up now?” I’d definitely re-check the reviews — not just the negative ones, but the overall trend. Are the bad reviews recent or isolated? Are they even about the same location? I’d also quickly search for any official health inspection notices about the restaurant. If there’s no formal warning or consistent red flags, I’d trust the critics and the majority of diners who had positive experiences. Friend A’s timing seems off, and I can’t ignore that they didn’t contribute when it mattered. In the end, I’d stick with the booking. Changing now would cause chaos, we’d likely lose the money, and it’s too late to rebook somewhere good. I’d tell everyone to show up — and maybe just avoid the oysters."
R_9ly8qis9dlrc9ar,"My initial reaction was a mix of disappointment and frustration. You’d think that at our ages we’re capable of making a simple reservation for a friend, which makes me think of 4 main possibilities, friend A either doesn’t like friend B due to some reason, possibly experiencing something in their home life or other aspect, could possibly be trying to avoid responsibility, knowing that I’ll make the booking anyways, or possibly struggles to help and communicate as a team? Their observation about the food poisoning was a good catch, but at this point in time there’s nothing to be done, and focussing on a useless solution doesn’t help. Instead of maybe we shouldn’t go… they could’ve suggested something like “let’s not try the fish” or smth more helpful. At this point I would stick with the original booking, but look further into the food poisoning case, hopefully trying to avoid the possibility of us having the same outcome. I’d also express to friend A and ask them if something was going on. I’d also express how I felt abandoned and disappointed that all the responsibility was thrown onto me, and point out that the last minute comment was possibly phrased poorly."
R_4bQXQnGPkraYQ3D,"My immediate reaction is that Friend A doesn't care enough about Friend B to put any effort into celebrating their birthday and wishes to take credit for planning their birthday celebration without putting any work in. I would tell Friend A that it would be too late to switch what restaurant we go to now and tell them that the reviews I saw online were really positive. Given that Friend A has shown some history in being unreliable and disorganised, I would choose to believe my own research that I've done on the restaurant to eat at since it seems that Friend A is wanting to potentially sabotage the birthday dinner or take credit for organising the celebration at the expense of me and my planning. I would double check that the reviews I saw were positive and send some screenshots of them to Friend A to further prove that we should go to the restaurant I chose. My final choice is that I would keep the booking since it's a nice restaurant with good reviews, and I'm skeptical that Friend A is trying to do something shady on Friend B's birthday."
R_41FkWLVk7rYU62L,"they should've told me they had an issue when i first asked them. no way im changing it this late. i'll kindly tell them we should still give it a go because its been given lots of other good reviews. it's not their choice to move it seeing as they didn't help at all with booking. also, i'll suggest that if we do decided to move it, she'll have to suggest a new restaurant and split the deposit with me seeing as I did all the work. I mean I guess i understand her concern, but why couldnt she have said something earlier. everything is always so last minute with her. oh well i'll message and suggest we leave it and see what she says, maybe it was only a few reviews, she does tend to get worried about that sort of stuff. it'll be fine."
R_9IOGliiBUtJWMc9,"I would be a little angry at first because nobody got any ideas but only me do the reservation but when we were about to have the meal ""Friend A"" appeared and that was quite annoying.But it was understandable because he just said his thoughts though that was too late. I would say why couldn't told me earlier because I had paid the money already. And to be honest I wouldn't pay much attention to whether the info is true or fake.It's a waste of time and what was more important was to satisfy everyone.I think i would not just insist what I chose but instead, have a discussion with them to choose a more satisfying plan , even if it meant I have to afford finance loss.But I probably unwilling to have a next meal with them in the future."
R_9CNkRH6KOycR6TU,"Firstly, I would be very annoyed at Friend A for the lack of communication on their end for the entire planning period. I think that we should just stick to the original booking, because its really close to Friend B's birthday and its also non-refundable. I'm assuming that the deposit is pretty pricey too. If Friend A actually responded to our text earlier about restaurant choices prior to putting in the deposit and warned about the food poisoning, then that would've given the opportunity to change restaurants earlier if they were concerned about food poisoning at the chosen restaurant. Also, unless Friend A has reviews or proof about the food poisoning, then I think, again, we should just stick to the original booking. I'm also assuming that we did more than enough research about restaurants in the area, that if there were any food poisoning cases, then it would come up. Thus, we should just keep the original booking."
R_9PYWjHPxUOfIAnw,"I would feel that friend A backstab me, they don't help me to find and book a restaurant, but they are dissatisfied with the restaurant I chose. Friend A would even send the screenshots to friend B, and friend B would also be dissatisfied with me. I will not respond friend A's text, and keep the booking. Because whatever I reply, they can stop responding again. I do not want to make friend B unhappy, so it is necessary to keep this restaurant. I will check the review of this restaurant again to make sure it is safe. If positive reviews are the majority, I will believe this restaurant is good. Finally, I will send screenshots of great reviews from food critics to friend B, and keep a distance from friendA in the future."
R_9qm6ZczrGsxoZf7,"While I would be partially concerned by the content of the google reviews that friend A had sent, I would be more perturbed by the fact that friend A hadn't contributed to helping find a restaurant and only had criticisms about the restaurant I had to find by myself. Additionally, considering I had paid out of pocket a non-refundable deposit, and also that at them point of friend A messaging the criticisms it would be too late to rebook another venue, I would be further agitated. While I do see the merit in checking the restaurants public reviews as the restaurant may have gone above and beyond to please critics and impact their reviews, the reasons cited above would prevent me altering my choice of restaurant. In this scenario I would keep the booking due to the timing, the lack of input from Friend A and the out of pocket expense already incurred."
R_9CxHjiLEAvYA1Z7,"A. Why friend A interupt my decision when he did not involve in booking the restaurant. I have already chosen carfully and paid the non-refundable deposit and now you telling me we should not go due to your finding of the bad reviews while i fould their good review. B. ""Hey, maybe we should find more review on this to discover whether the restaurant is really bad, there is always bad review on google so we should double checked it. Since I have already paid the deposit, if we are not going we need to split this bill. Decide quickly so we have enough time to provide alternative options."" C. I will check multiple websites on the restaurant review or ask friend who have been there or if it is near I will go to the place and check if it is famous and busy. D. Check that bad review is recently posted, if not they might have improve on food safety. It can also be purposely misleading review from other restaurant. I will keep the booking until it is comfirmed that the restaurant is bad or someone give me a better option which i know it is pleasant and split the non-refundable deposit with me."
R_4NDmSPqopKb7O1c,"Ugh… seriously? Three hours before the dinner and now they care? I’m honestly so frustrated. Where was this energy a month ago when I asked for help? I tried to involve them and they ghosted me — I was the one who found the restaurant and paid the deposit. And now they send me a few bad reviews and want to cancel? Okay, breathe. Let’s not overreact. First of all, I know this place has amazing reviews from actual food critics — like in magazines and blogs. It’s popular for a reason. Sure, someone on Google said they got food poisoning, but those reviews can be unreliable. People exaggerate all the time online. One or two bad reviews among hundreds of positives? Not enough to panic. I’d text Friend A back and say, “Thanks for the heads-up, but I’ve already paid a non-refundable deposit and the place has great critic reviews. I think we’re good to go.” Just to be safe, I’d check the restaurant’s Instagram or any recent posts to see if they’ve said anything about health concerns — maybe even call them quickly to confirm everything’s running smoothly. Final decision? Keep the booking. We’re too close to the event to change now, and there’s no solid reason to believe this place is unsafe. Plus, Friend B deserves a nice dinner, not last-minute chaos."
R_9AN9hSpXOdSyURH,"Ok they stopped responding so I'll just book it. Well mate I already booked it so we kind of have to. Plus all other places are booked. Whatever happens happens, if we get food poisoning tough luck. C. I wouldn't really care about the info D. Not really A. Well nice but I already booked it B. Already paid we gotta go"
R_4iUoQNwPj2jAKyv,I would be upset that friend A did not help with finding and booking a reservation somewhere. I would ask why friend A did not help with finding a restaurant and would tell them that we are keeping the booking because I had to pay for it and it is non-refundable. I would also show them the good food reviews and just tell them that it is too late to change and that the food poisoning was most likely a one time thing.
R_9MSYEATuG2THmYs,"A. This guy didn't do any work and now he's complaining? Ask the legitimacy of the google reviews since the health of the friends come first. C. I would look at what type of resturaunts, what is being complained about etc. D. Maybe scout the resturaunt myself before making a choice. If possible I would find another venue however if not stick to this one."
R_4obtThjO6vzifmO,"a.Why on earth should this responsibility be left up to me? I would feel aggressive and irritable that I have to be the one to set everything up because I care about my friend and Friend A doesn't. To be honest, i'll be excited to report this back to friend B that friend A didn't help out with anything. Not that friendship is a competition but because it's not cool that I had to do everything and friend A left it for me to plan. B. Assuming the ""maybe we shouldn't go"" was sent through by text I would immediately reply with, 'too late, I've booked and paid for the reservation. Lets take our chances. Then i'll send the details of the event and also her half of the cost. c. I would take everything with a grain of salt. If theres some good reviews then that's fine but I don't mind going to a badly rated resturaunt. d. send me ur half..."
R_9fwwUsGWe4ahb3J,"Immediately I felt annoyed and upset by the thought of losing my deposit and seeing my friend. I think I would mention the fact that I paid a non-refundable deposit and also mention the time and that we would have limited options to eat dinner elsewhere. Food critics typically are trustworthy due to their image and followers which respect their decisions. Google reviews are easily fabricated and are often non-truthful or are plagued by overly critical middle-aged individuals. I would investigate the google reviews to see when they were posted as well as the date of the last food critic review to check the recency of the 'food poisoning' claims. Ultimately due to the late notice, lack of input from Friend A and the abundance of good reviews from critics, I would keep and attend the pre-decided reservation."
